trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
186,False,"{'a': 0.35, 'e': 0.3419999999999995}",20,10,7.595470689538197,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.35, 'e': 0.3389999999999995}",20,5,-15.69585100298591,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
188,False,"{'a': 0.35, 'e': 0.3359999999999995}",20,12,15.01972464893961,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.35, 'e': 0.3329999999999995}",20,6,-9.657966426392909,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
190,False,"{'a': 0.35, 'e': 0.3299999999999995}",20,7,-29.00394915110619,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
191,False,"{'a': 0.35, 'e': 0.3269999999999995}",30,1,4.526404498386928,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 0}",1
192,False,"{'a': 0.35, 'e': 0.3239999999999995}",20,14,0.5801776515647099,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
193,False,"{'a': 0.35, 'e': 0.3209999999999995}",20,11,-4.36140600273864,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
194,False,"{'a': 0.35, 'e': 0.3179999999999995}",25,11,-37.0517000087799,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
195,False,"{'a': 0.35, 'e': 0.3149999999999995}",25,17,-8.910475168483309,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
196,False,"{'a': 0.35, 'e': 0.3119999999999995}",20,15,0.8632495651009302,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.35, 'e': 0.3089999999999995}",30,11,-8.852164105238389,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
198,False,"{'a': 0.35, 'e': 0.3059999999999995}",20,13,0.04739538676928223,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
199,False,"{'a': 0.35, 'e': 0.3029999999999995}",30,18,4.214580656646556,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
200,False,"{'a': 0.35, 'e': 0.2999999999999995}",25,9,14.513525010324683,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
201,False,"{'a': 0.35, 'e': 0.2969999999999995}",25,17,17.247610350949568,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.35, 'e': 0.2939999999999995}",35,15,-58.40815142935161,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",1
203,False,"{'a': 0.35, 'e': 0.2909999999999995}",20,15,7.485639464072335,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.35, 'e': 0.2879999999999995}",30,20,17.591309766741944,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.35, 'e': 0.2849999999999995}",25,19,10.34427120638745,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.35, 'e': 0.2819999999999995}",20,16,10.232042845436707,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.35, 'e': 0.27899999999999947}",25,8,5.939566431058342,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
208,False,"{'a': 0.35, 'e': 0.27599999999999947}",30,0,-36.46349455868337,"{0: 25, 1: 2, 2: 1, 3: 1, 4: 1}",0
209,False,"{'a': 0.35, 'e': 0.27299999999999947}",30,6,8.628876134566445,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 0}",1
210,False,"{'a': 0.35, 'e': 0.26999999999999946}",20,0,19.42953040382202,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
211,False,"{'a': 0.35, 'e': 0.26699999999999946}",20,10,16.797057667410847,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.35, 'e': 0.26399999999999946}",20,14,12.03417254373128,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.35, 'e': 0.26099999999999945}",20,12,13.959035065354982,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.35, 'e': 0.25799999999999945}",20,6,-27.920928292364984,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
215,False,"{'a': 0.35, 'e': 0.25499999999999945}",25,9,14.56718658664594,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
216,False,"{'a': 0.35, 'e': 0.25199999999999945}",25,16,2.8551946208532955,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
217,False,"{'a': 0.35, 'e': 0.24899999999999944}",20,2,-12.814098872455965,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
218,False,"{'a': 0.35, 'e': 0.24599999999999944}",30,13,-61.581803380494534,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 1}",1
219,False,"{'a': 0.35, 'e': 0.24299999999999944}",25,17,-2.173285156733593,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
220,False,"{'a': 0.35, 'e': 0.23999999999999944}",20,13,13.340745456521722,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.35, 'e': 0.23699999999999943}",25,8,27.27698023592666,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.35, 'e': 0.23399999999999943}",20,4,29.68746698573275,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.35, 'e': 0.23099999999999943}",20,14,9.810845808226228,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.35, 'e': 0.22799999999999943}",25,9,-6.958149400875676,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
225,False,"{'a': 0.35, 'e': 0.22499999999999942}",25,3,24.043814821442343,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
