trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
56,False,"{'a': 0.4, 'e': 0.7080947405363958}",25,15,-2.5402207285007816,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
57,False,"{'a': 0.4, 'e': 0.6981400271595356}",25,2,-140.6200076116527,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 3}",1
58,False,"{'a': 0.4, 'e': 0.6880484805723165}",20,0,-61.387835683042006,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",1
59,False,"{'a': 0.4, 'e': 0.6778220786855633}",25,6,-25.615925095694575,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 0}",1
60,False,"{'a': 0.4, 'e': 0.6674628258413081}",20,6,-47.51914336931343,"{0: 8, 1: 2, 2: 3, 3: 1, 4: 0}",1
61,False,"{'a': 0.4, 'e': 0.6569727524199449}",20,1,-66.2144357677631,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 1}",1
62,False,"{'a': 0.4, 'e': 0.6463539144422825}",30,0,-52.46304653432377,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
63,False,"{'a': 0.4, 'e': 0.6356083931665703}",25,0,-104.93645869913198,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
64,False,"{'a': 0.4, 'e': 0.6247382946805783}",30,0,-50.55079447246065,"{0: 22, 1: 3, 2: 4, 3: 1, 4: 0}",0
65,False,"{'a': 0.4, 'e': 0.6137457494888114}",25,0,-6.837269530941655,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
66,False,"{'a': 0.4, 'e': 0.6026329120949367}",25,7,-101.89033788564252,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 2}",1
67,False,"{'a': 0.4, 'e': 0.5914019605795076}",30,23,8.134833715633205,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.4, 'e': 0.5800550961730673}",30,13,-80.06668435652992,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 2}",1
69,False,"{'a': 0.4, 'e': 0.5685945428247147}",25,0,-42.73685683821669,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",1
70,False,"{'a': 0.4, 'e': 0.5570225467662173}",20,4,-60.990483495864524,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 1}",1
71,False,"{'a': 0.4, 'e': 0.5453413760717568}",20,11,-4.259553848689616,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.4, 'e': 0.5335533202133943}",20,0,-27.873207907851437,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
73,False,"{'a': 0.4, 'e': 0.5216606896123409}",25,9,-22.727648489153225,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
74,False,"{'a': 0.4, 'e': 0.5096658151861223}",25,16,17.143338308601052,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.4, 'e': 0.497571047891727}",25,3,-27.495317276258167,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 0}",1
76,False,"{'a': 0.4, 'e': 0.48537875826482507}",25,10,-22.767728654033526,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
77,False,"{'a': 0.4, 'e': 0.47309133595515224}",30,16,22.018383507614544,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.4, 'e': 0.46071118925814536}",30,3,-28.22911648924687,"{0: 23, 1: 2, 2: 1, 3: 0, 4: 1}",1
79,False,"{'a': 0.4, 'e': 0.4482407446429244}",20,13,-39.76280454999632,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
80,False,"{'a': 0.4, 'e': 0.43568244627671204}",20,2,-75.90129523857088,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 2}",1
81,False,"{'a': 0.4, 'e': 0.42303875554578513}",20,0,-47.16098901742885,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
82,False,"{'a': 0.4, 'e': 0.4103121505730504}",30,20,6.3557931794764295,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.4, 'e': 0.3975051257323408}",20,0,4.950812041371118,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
84,False,"{'a': 0.4, 'e': 0.3846201911595257}",20,0,-48.32327317388658,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
85,False,"{'a': 0.4, 'e': 0.37165987226053276}",35,9,0.3958154405412264,"{0: 22, 1: 1, 2: 3, 3: 0, 4: 0}",1
86,False,"{'a': 0.4, 'e': 0.3586267092163761}",20,0,7.814546589860573,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
87,False,"{'a': 0.4, 'e': 0.3455232564852892}",35,13,12.072783904535909,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
88,False,"{'a': 0.4, 'e': 0.33235208230205904}",20,4,-27.692749575852442,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
89,False,"{'a': 0.4, 'e': 0.3191157681746606}",20,0,-20.1808711680304,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
90,False,"{'a': 0.4, 'e': 0.3058169083782891}",30,3,-31.90125436881425,"{0: 22, 1: 3, 2: 1, 3: 0, 4: 1}",1
91,False,"{'a': 0.4, 'e': 0.29245810944689093}",30,14,18.350335805074593,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.4, 'e': 0.279041989662291}",20,14,-1.4583417498264184,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
